                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5649,                 2.6293,                 1.4297,                0.24408,                0.23254,                0.19241,                0.13599,                 1.4145,                 9.8817,                  1.418,                0.09005,                  5e-05,                  5e-05
                      2,                 1.2476,                 1.5272,                 1.2155,                0.48663,                0.56786,                 0.5192,                0.35572,                 1.4152,                  2.476,                 1.3707,               0.079104,             0.00010396,             0.00010396
                      3,                  1.214,                  1.261,                 1.1568,                0.77877,                0.49326,                0.64827,                0.43379,                 1.3635,                 1.9714,                 1.3862,               0.068157,             0.00015683,             0.00015683
                      4,                 1.1225,                 1.0705,                 1.0845,                 0.7033,                 0.7341,                0.78589,                0.51696,                  1.172,                 1.5604,                 1.1837,               0.057209,             0.00020861,             0.00020861
                      5,                 1.0688,                0.95682,                 1.0505,                0.74982,                0.72897,                0.78275,                0.50707,                 1.2421,                 0.9685,                 1.2137,               0.046259,             0.00025931,             0.00025931
                      6,                 1.0281,                0.87435,                 1.0448,                0.79612,                0.72374,                0.80918,                0.52857,                  1.158,                0.91788,                 1.1636,               0.035309,             0.00030891,             0.00030891
                      7,                 1.0328,                 0.8622,                 1.0273,                0.81792,                0.78244,                0.87881,                0.55685,                 1.2135,                   0.92,                 1.1741,               0.024357,             0.00035743,             0.00035743
                      8,                 1.0245,                0.81045,                 1.0248,                0.80779,                0.85205,                0.91016,                0.58533,                 1.1958,                  1.052,                 1.1673,               0.013405,             0.00040485,             0.00040485
                      9,                 1.0106,                0.82879,                 1.0726,                0.92172,                0.77127,                0.91279,                0.55883,                 1.3408,                 0.8688,                 1.2491,              0.0024512,             0.00045119,             0.00045119
                     10,                 0.9761,                0.78904,                 1.0059,                0.87809,                0.84709,                0.92122,                0.58373,                 1.2198,                 1.2814,                 1.1733,             0.00045545,             0.00045545,             0.00045545
                     11,                 0.9609,                0.75721,                 1.0178,                 0.8241,                0.83942,                0.86573,                 0.5524,                 1.1795,                0.96807,                 1.1584,             0.00045545,             0.00045545,             0.00045545
                     12,                0.91209,                0.73614,                 0.9762,                0.87934,                0.83709,                0.92057,                0.59337,                  1.227,                0.73646,                 1.1692,              0.0004505,              0.0004505,              0.0004505
                     13,                0.99459,                0.76506,                0.98175,                0.90965,                0.82974,                0.91905,                0.59302,                 1.2291,                0.80958,                 1.1645,             0.00044555,             0.00044555,             0.00044555
                     14,                0.96061,                0.69759,                0.97841,                0.82745,                0.87107,                0.93468,                0.63264,                 1.1969,                0.76851,                 1.1693,              0.0004406,              0.0004406,              0.0004406
                     15,                0.94482,                0.70167,                0.98106,                0.90488,                0.85361,                0.92079,                0.60256,                 1.2808,                0.79826,                 1.2214,             0.00043565,             0.00043565,             0.00043565
                     16,                0.91999,                0.68874,                0.95971,                0.86451,                0.89006,                0.93541,                  0.603,                 1.2252,                0.69768,                 1.1798,              0.0004307,              0.0004307,              0.0004307
                     17,                 0.9087,                0.66294,                0.95696,                0.95222,                0.81924,                0.92754,                0.60423,                 1.2277,                0.71895,                 1.1777,             0.00042575,             0.00042575,             0.00042575
                     18,                0.91429,                0.64521,                0.96092,                0.90083,                0.85635,                0.93292,                0.60393,                 1.2822,                0.65288,                 1.2261,              0.0004208,              0.0004208,              0.0004208
                     19,                0.90622,                0.62409,                0.95502,                0.88599,                0.86632,                0.92944,                0.60229,                 1.2298,                0.70306,                  1.215,             0.00041585,             0.00041585,             0.00041585
                      1,                 1.5666,                 2.6012,                 1.4244,                0.29132,                0.17579,                0.15173,                0.10428,                 1.4232,                 10.883,                 1.4273,                0.09005,                  5e-05,                  5e-05
                      2,                 1.2309,                 1.3796,                 1.1895,                0.63046,                0.49348,                0.53271,                0.35046,                 1.5493,                 2.0325,                 1.4481,               0.079104,             0.00010396,             0.00010396
                      3,                 1.1693,                 1.2072,                 1.1176,                0.66501,                0.55079,                0.64451,                0.41609,                 1.3419,                 1.9805,                 1.3818,               0.068157,             0.00015683,             0.00015683
                      4,                 1.1125,                 1.0321,                 1.0698,                0.73236,                0.66374,                0.73895,                0.45998,                  1.351,                 1.5023,                  1.353,               0.057209,             0.00020861,             0.00020861
                      5,                 1.0815,                0.94079,                 1.0427,                0.77044,                0.74456,                 0.8363,                0.50646,                 1.4623,                 1.2825,                 1.4361,               0.046259,             0.00025931,             0.00025931
                      6,                 1.0541,                0.89078,                  1.054,                0.80138,                0.72661,                0.84627,                0.55358,                 1.1561,                 1.1522,                 1.1831,               0.035309,             0.00030891,             0.00030891
                      7,                 1.0636,                0.84733,                 1.0495,                 0.8068,                 0.7747,                 0.8596,                0.55408,                 1.2053,                 1.2719,                 1.1802,               0.024357,             0.00035743,             0.00035743
                      8,                 1.0426,                0.81066,                 1.0376,                0.89635,                 0.7746,                0.89301,                0.58994,                 1.1427,                 1.2624,                 1.1396,               0.013405,             0.00040485,             0.00040485
                      9,                 1.0132,                0.82248,                 1.0623,                0.85254,                0.81111,                 0.8836,                 0.5528,                 1.3335,                0.90507,                 1.2396,              0.0024512,             0.00045119,             0.00045119
                     10,                0.98166,                0.80047,                0.99674,                0.91925,                0.81647,                0.90787,                 0.5931,                 1.1856,                0.97265,                 1.1614,             0.00045545,             0.00045545,             0.00045545
                     11,                0.99029,                0.78169,                 1.0239,                0.83859,                0.85203,                0.91602,                0.58439,                 1.1849,                 0.7897,                 1.1284,             0.00045545,             0.00045545,             0.00045545
                     12,                0.91749,                0.73702,                0.97584,                0.83198,                0.79405,                0.90071,                0.57508,                 1.2561,                0.90742,                 1.1939,              0.0004505,              0.0004505,              0.0004505
                     13,                 1.0071,                0.77806,                0.98619,                0.79344,                0.88034,                0.91625,                0.60205,                 1.2118,                0.86152,                 1.1587,             0.00044555,             0.00044555,             0.00044555
                     14,                0.98018,                0.68863,                0.99232,                0.69519,                0.86975,                0.90568,                0.58209,                 1.2371,                0.97074,                 1.1813,              0.0004406,              0.0004406,              0.0004406
                     15,                0.96452,                0.70401,                0.98494,                0.80326,                0.84579,                0.92417,                0.59939,                 1.2669,                0.90296,                 1.1866,             0.00043565,             0.00043565,             0.00043565
                     16,                0.92344,                0.66831,                0.96293,                0.87547,                0.84607,                0.92308,                0.62489,                 1.1563,                0.77621,                 1.1407,              0.0004307,              0.0004307,              0.0004307
                     17,                0.92597,                0.66212,                0.96306,                0.86477,                0.87671,                0.92311,                0.59728,                 1.1712,                0.78184,                 1.1557,             0.00042575,             0.00042575,             0.00042575
                     18,                0.89744,                 0.6229,                0.95443,                0.91879,                0.79563,                0.91105,                0.57566,                 1.2076,                0.77667,                 1.1663,              0.0004208,              0.0004208,              0.0004208
                     19,                 0.9022,                0.60825,                0.94818,                0.92946,                0.81168,                0.90077,                0.60295,                 1.1307,                0.70358,                 1.1485,             0.00041585,             0.00041585,             0.00041585
                     20,                0.87526,                0.61096,                 0.9517,                0.91838,                0.83106,                0.93816,                0.62584,                  1.125,                0.75338,                  1.157,              0.0004109,              0.0004109,              0.0004109
                     21,                0.85301,                0.59447,                0.93715,                0.92504,                0.86499,                0.94395,                0.61971,                 1.1803,                0.73371,                 1.1717,             0.00040595,             0.00040595,             0.00040595
                     22,                0.86781,                0.56912,                0.95452,                0.94608,                0.82626,                  0.935,                0.60595,                 1.2052,                0.72463,                 1.1787,               0.000401,               0.000401,               0.000401
                     23,                0.81917,                0.56905,                0.93115,                0.90783,                0.84914,                 0.9206,                0.58349,                 1.2176,                0.75093,                 1.1836,             0.00039605,             0.00039605,             0.00039605
                     24,                0.83941,                0.56067,                0.92383,                0.93037,                0.82857,                0.92934,                0.59002,                  1.252,                0.76256,                 1.2005,              0.0003911,              0.0003911,              0.0003911
